Category,Phrase
Event,A Trip To A Historic City
Event,A Trip To A Historical Fort
Event,A Trip To A Luxurious Spa
Event,A Trip To A Secret Island
Event,A Trip To A Supervolcano
Event,A Trip To A Temperate Rainforest
Event,A Trip To A Tiny City
Event,A Trip To A Wildlife Refuge
Event,A Trip To Albuquerque New Mexico
Event,A Trip To Albuquerque Old Town
Event,A Trip To Amish Country
Event,A Trip To An Indoor Playground
Event,A Trip To An Island In The Pacific
Event,A Trip To An Isolated Castle
Event,A Trip To Angkor Wat
Thing,A Trip To Another Country
Event,A Trip To Antarctica
Event,A Trip To Badlands National Park
Event,A Trip To Bali
Thing,A Trip To Bali
Event,A Trip To Bangor Maine
Event,A Trip To Barcelona Spain
Event,A Trip To Bath
Event,A Trip To Bermuda
Before and After,A Trip To Boston Baked Beans
Before and After,A Trip To Boston Cream Pie
Event,A Trip To Botswana
Event,A Trip To Boulder Colorado
Event,A Trip To Cambridge
Thing,A Trip To Cambridge
Event,A Trip To Casper Wyoming
Event,A Trip To Central Europe
Event,A Trip To Coney Island
Event,A Trip To Cooperstown New York
Event,A Trip To Crater Lake National Park
Event,A Trip To Devils Tower
Event,A Trip To Easter Island
Thing,A Trip To Edinburg
Thing,A Trip To Edinburgh
Event,A Trip To England
Event,A Trip To Europe
Event,A Trip To Fenway Park
Event,A Trip To Fort Lauderdale Florida
Event,A Trip To Gallup New Mexico
Event,A Trip To Glacier Bay National Park
Event,A Trip To Great Sandy National Park
Event,A Trip To Greece
Event,A Trip To Guadalajara
Event,A Trip To Haystack Rock
Event,A Trip To Hersheypark
Event,A Trip To Historic Mining Town
Event,A Trip To Historic Mining Towns
Event,A Trip To Historical Sites
Event,A Trip To Hollywood Florida
Rhyme Time,A Trip To Hollywood Will Do Some Good
Event,A Trip To India
Event,A Trip To Inscription Rock
Event,A Trip To Jackson Hole Wyoming
Event,A Trip To Kennedy Space Center
Event,A Trip To London England
Event,A Trip To Machu Picchu
Event,A Trip To Meteor Crater
Event,A Trip To Milan Italy
Event,A Trip To Moscow Russia
Event,A Trip To Mount Rushmore
Phrase,A Trip To Mount Rushmore
Event,A Trip To Nepal
Event,A Trip To New York City
Event,A Trip To New York New York
Event,A Trip To Paris France
Event,A Trip To Portland Oregon
Event,A Trip To Prescott National Forest
Event,A Trip To Roswell New Mexico
Event,A Trip To San Diego California
Event,A Trip To Santa Fe New Mexico
Event,A Trip To See The Field Of Light Uluru
Event,A Trip To See The Liberty Bell
Event,A Trip To See Waterfalls
Event,A Trip To Tampa Florida
Event,A Trip To The Austin Zoo
Event,A Trip To The Baseball Hall Of Fame
Fun and Games,A Trip To The Batting Cages
Event,A Trip To The Big Island
Event,A Trip To The Career Placement Office
Event,A Trip To The Career-Placement Office
Event,A Trip To The Christmas Tree Farm
Event,A Trip To The Concession Stand
Event,A Trip To The Cook Islands
Event,A Trip To The Countryside
Event,A Trip To The Deepest Lake In The U.S
Event,A Trip To The Deepest Lake In The U.S.
Event,A Trip To The Four Corners Area
Event,A Trip To The Georgia O'Keeffe Museum
Event,A Trip To The Greek Islands
Event,A Trip To The Hungarian Sea
Event,A Trip To The Island Of Kotlin
Event,A Trip To The Maritime Provinces
Event,A Trip To The Museum
Event,A Trip To The North Pole
Event,A Trip To The Pacific Northwest
Event,A Trip To The Party Supply Store
Event,A Trip To The Party-Supply Store
Event,A Trip To The Pastry Shop
Event,A Trip To The Perth Zoo
Event,A Trip To The Petrified Forest
Event,A Trip To The Petrified Forrest
Event,A Trip To The Pumpkin Patch
Thing,A Trip To The Pumpkin Patch
Event,A Trip To The Ruins
Event,A Trip To The Snow Covered Andes
Event,A Trip To The Snow-Covered Andes
Event,A Trip To The Summit
Event,A Trip To The Sunshine Coast
Event,A Trip To The Sunshine State
Event,A Trip To The Swiss Alps
Event,A Trip To The Tiergarten Schonbrunn
Event,A Trip To The Toy Store
Event,A Trip To The Warm Dry South Coast Of Portugal
Event,A Trip To The Weekly Market
Event,A Trip To The Wetlands
Event,A Trip To Thermal Springs
Event,A Trip To Transylvania
Event,A Trip To Wriggled Field
Event,A Trip To Wrigley Field
Event,A Trip To Wyoming
Event,A Trip To Yankee Stadium
Quotation,A True Man Hates No One
Thing,A Tube Of Sunscreen
Thing,A Twinkle In My Eye
Thing,A Twist Of Lemon
Event,A Vacation Abroad
Fictional Character,A Vampire Freaking Out At A Ray If Sunlight
Fictional Character,A Vampire Freaking Out At A Ray Of Sunlight
Phrase,A Variety Of Climates
Food and Drink,A Variety Of Tasty Dipping Sauces
Living Thing,A Variety Of Wildlife
Around the House,A Vase Filled With Sunflowers
Around the House,A Vase Of Flowers
Around the House,A Vase Of Fresh Cut Garden Flowers
Place,A Villa On A Private Island
Title,A Visit From St. Nicholas
TV Show Title,A Visit From St. Nicholas
Event,A Visit To A Ghost Town
Event,A Visit To An Alpine Village
Event,A Visit To Badlands National Park
Event,A Visit To Buckingham Palace
Event,A Visit To Kensington Palace
Event,A Visit To The Art Museum
Event,A Visit To The Art Museun
Event,A Visit To The Giza Pyramid
Event,A Visit To The Hot Springs
Before and After,A Visit To The Pet Shop Boys
Event,A Visit To The Pyramids
People,A Walk In The Park
Thing,A Walk In The Park
Event,A Walk On An Exotic Beach
Event,A Walk Through The Trees
Title,A Walk To Remember
Thing,A Warm & Cold Sweater
Thing,A Warm & Cozy Sweater
Food and Drink,A Warm Bowl Of Corned Beef & Cabbage
Thing,A Warm Caring Hug
Thing,A Warm Cozy Fire In The Fireplace
Thing,A Warm Embrace
Thing,A Warm Welcome
Phrase,A Watched Pot Never Boils
Phrase,A Way Of Life
Place,A Way Of Life
Phrase,A Way With Words
Phrase,A Wealth Of Information
Event,A Wedding In Paradise
Thing,A Wedding Plan For Everyone
Event,A Weekend Getaway
Event,A Weekend In Maui
Event,A Weekend On Martha's Vineyard
Event,A Weekend On Nantucket Island
In the Kitchen,A Well-Stocked Pantry
Rhyme Time,A West Virginian Opinion
Phrase,A Whale Of A Time
Food and Drink,A Whole Honeydew
Song Title,A Whole New World
Phrase,A Wide Range Of Options
Phrase,A Wide Variety
Thing,A Wig Blowing Away In The Wind
Title,A Wild Sheep Chase
Thing,A Wink & A Smile
Phrase,A Wink And A Nod
Thing,A Winning A Powerball Office Pool
Rhyme Time,A Witch With Perfect Pitch
Movie Title,A Woman Called Golda
Thing,A Wonderful & Exciting Time
Phrase,A Wonderful Day To Be Outside
Thing,A Wonderful Daydream
Thing,A Wonderful Experience
Phrase,A Word Of Advice
Fun and Games,A Word Search
What Are You Doing,A Word Search
Phrase,A Word To The Wise
Phrase,A Work In Progress
Phrase,A World Of Comfort Awaits
Phrase,A World Of Knowledge
Phrase,A World Of Wonder Awaits You
Person,A World Traveler
Person,A Worthy Opponent
Book Title,A Wrinkle In Time
Title,A Wrinkle In Time
Song Lyrics,A Yankee Doodle Do Or Die
Movie Title,A Year In Burgundy
Movie Title,A Year In Champagne
Song Lyrics,A You're Adorable B You're So Beautiful
Rhyme Time,A Young Goat Sailing A Boat
Before and After,A- No Win Situation Comedy
Thing,A-Line Dresses
Thing,A-Line Skirt
People,A-List Actors
People,A-List Celebrities
People,A-Listers
Quotation,A-Tisket A-Tasket
Proper Name,A.J. Green
Living Thing,Aardonyx
Living Thing,Aardvark
Proper Name,Aaron Aziz
Proper Name,Aaron Boone
Proper Name,Aaron Burr
Proper Name,Aaron Paul
Star and Role,Aaron Paul As Jesse Pinkman
Proper Name,Aaron Rodgers
Proper Name,Aaron Sorkin
Thing,Aaron's Rod
Title,Aarp Magazine
Thing,Abacus
On the Map,Abajo Mountains
Food and Drink,Abalone
Place,Abandon Warehouse
Place,Abandoned Warehouse
Proper Name,Abba
Landmark,Abbey Library Of St. Gall
Place,Abbeys And Convents
Show Biz,Abbi Jacobson Stars In Broad City
Show Biz,Abbott & Costello Movies
Thing,Abbreviation
Thing,Abbreviations
Fictional Character,Abby Sciuto
Proper Name,Abc Family
Title,Abc Song
TV Show Title,Abcs Lost
Proper Name,Abe Vigoda
Landmark,Aberdeen Maritime Museum
On the Map,Aberdeen Scotland
What Are You Doing,Abiding By The Law
On the Map,Abilene Kansas
On the Map,Abilene Texas
People,Able Crewmates
Person,Able Seaman
People,Able-Bodied Young Men
Proper Name,Abolitionist Frederick Douglass
Fictional Character,Abominable Snowman
Thing,Aboriginal Culture
Event,Aboriginal Heritage Tour
TV Show Title,About A Boy
Phrase,About Face
Movie Title,About Last Night
Phrase,About The Author
What Are You Doing,About The Author
Movie Title,About Time
Phrase,About-Face
Phrase,Above & Beyond
Phrase,Above And Beyond The Call Of Duty
Phrase,Above Average
Thing,Above Average
Phrase,Above Mentioned
Phrase,Above Par
Phrase,Above The Fray
Song Lyrics,Above The Fruited Plain!
Phrase,Above Water
Thing,Above-Ground Pool
Thing,Above-Ground Subway
Place,Above-Ground Swimming Pool
Phrase,Abovementioned
Song/Artist,Abracadabra By Steve Miller Band
Phrase,Abracadabra!
Husband and Wife,Abraham & Mary Todd Lincoln
Proper Name,Abraham & Moses
Proper Name,Abraham Lincoln
Before and After,Abraham Lincoln Nebraska
Before and After,Abraham Lincoln Tunnel
Fictional Character,Abraham Woodhull
In the Kitchen,Abrasive Pads
Thing,Abs & Glutes
Phrase,Absence Makes The Heart Grow Fonder
Before and After,Absent Without Leave It To Beaver
Thing,Absentee Ballot
Thing,Absentee Vote
People,Absentee Voters
People,Absolute Beginners
Phrase,Absolute Silence
Before and After,Absolute Truth Is Stranger Than Fiction
TV Show Title,Absolutely Fabulous
Thing,Absorption Nebula
What Are You Doing,Abstaining From Meat Consumption
Thing,Abstract Art
Person,Abstract Expressionist
Thing,Abstract Glass Sculpture
Thing,Abstract Idea
Fictional Character,Abuja Calhoun
Fun and Games,Abundance Of Watersports
Living Thing,Abundant Sea Life
Living Thing,Abundant Wildlife
Thing,Abundant Wildlife
Living Thing,Abydosaurus
Thing,Ac Adapter
Proper Name,Ac Shelby Cobra
People,Academia
Place,Academic Academy
Occupation,Academic Advisor
Thing,Academic Excellence
Thing,Academic Freedom
Thing,Academic Grant
Place,Academic Libraries
Phrase,Academic Research
Place,Academic Research
Thing,Academic Research
Thing,Academic Rigor
College Life,Academic Scholarship
Thing,Academic Scholarship
Phrase,Academically Gifted
Show Biz,Academy Award Nomination
Show Biz,Academy Award Nominee
People,Academy Award Nominees
Show Biz,Academy Award Winner Gary Oldman
Proper Name,Academy Award Winner Jane Fonda
People,Academy Award Winners
Show Biz,Academy Awards
Person,Academy Awards Host
Event,Academy Awards Pre-Show
Proper Name,Academy Of Motion Picture Arts & Sciences
Landmark,Acadia National Park
Event,Acadian Festival
Food and Drink,Acai Berry
Thing,Accelerator
Around the House,Accent Cabinet
Around the House,Accent Furniture
Around the House,Accent Window
Phrase,Accentuate The Positive
Before and After,Accept The Fact Or Fiction
Before and After,Accept The Fact Or Fiction?
What Are You Doing,Accepting An Award With Great Humility
What Are You Doing,Accepting The Blame
Phrase,Access Denied
TV Show Title,Access Hollywood
TV Show Title,Access Hollywood Live
Place,Access Road
Thing,Accessible Aquatics
What Are You Doing,Accessing Genealogy Websites
Where Are We Going,Accessing Genealogy Websites
What Are You Doing,Accessing My Accounts Online
Thing,Accessories
Thing,Accessories & Watches
Thing,Accessories And Watches
Person,Acclaimed Actor
Person,Acclaimed Actress
Thing,Acclaimed Actress
Occupation,Acclaimed Film Director
Person,Acclaimed Film Director
People,Acclaimed Filmmaker
Person,Acclaimed Filmmaker
Person,Accompanist
People,Accomplished Athletes
Person,Accomplished Public Speaker
People,Accomplished Songwriters
What Are You Doing,Accomplishing My Goals
Phrase,According To All Accounts
TV Show Title,According To Jim
Phrase,According To My Research
Phrase,According To Sources
Thing,Accordion
People,Accordion Player
Person,Accordion Player
Occupation,Accordionist
People,Accordionist
Person,Accordionist
Occupation,Account Executive
Thing,Account Receivable
Thing,Accounts Receivable
Thing,Accounts Receiveable
Place,Accredited College
Thing,Accumulated Balance
Thing,Accurate Bookkeeping
Thing,Accurate Estimate
Thing,Accurate Predictions
Thing,Accurate Rumor
Thing,Accusation
Phrase,Ace In The Hole
TV Show Title,Ace Of Cakes
Thing,Ace Of Hearts
Fictional Character,Ace Ventura
The 80’s,Ace Ventura
The 90’s,Ace Ventura
Movie Title,Ace Ventura: Pet Detective
Proper Name,Acer Laptop Computer
Thing,Aches & Pains
Thing,Aches And Pains
Before and After,Achievable Goal Line
Thing,Achievement Award
Title,Achievement In Excellence
What Are You Doing,Achieving The American Dream
Fictional Character,Achilles
Thing,Achilles Heel
Thing,Achilles Tendon
Phrase,Achilles' Heel
Thing,Aching Heart
Thing,Acid Rain
Before and After,Acid Test Tube
Thing,Acid-Washed Jeans
What Are You Doing,Acing A Test
Food and Drink,Acorn Squash
Food and Drink,Acorn Squash Puree
Living Thing,Acorn Woodpecker
Living Thing,Acorn Woodpeckers
Living Thing,Acorn Worm
Food and Drink,Acorn-Squash Puree
On the Map,Acosta Valley
Thing,Acoustic Guitar
Thing,Acqua Alta
Thing,Acquired Trait
Thing,Acres Of Bright-Green Grass
Thing,Acres Of Land
Place,Acres Of Lush Forests
Thing,Acres Of Lush Green Gardens
Place,Acres Of Pear Trees
Living Thing,Acrobat Ants
People,Acrobats & Jugglers
Thing,Acronym
Landmark,Acropolis Museum In Athens Greece
Song Lyrics,Across A Crowded Room
Phrase,Across The Board
Phrase,Across The Pond
Phrase,Across-The Board
Phrase,Across-The-Board
Living Thing,Acrotholus
Thing,Acrylic Based Overcoat
Thing,Acrylic Buttons
Thing,Acrylic Eye Shadow
Thing,Acrylic Glass Tunnels
Thing,Acrylic Nails
Thing,Acrylic Paints & Paintbrushes
Thing,Acrylic Paints And Paintbrushes
Thing,Acrylic Varnish
Thing,Acrylic-Based Overcoat
Phrase,Act Accordingly
Phrase,Act Like An Adult!
Before and After,Act Natural Beauty
Song Title,Act Naturally
Phrase,Act Now
Phrase,Act Of Faith
Thing,Act Of Faith
Event,Act Of Heroism
Thing,Act Of Kindness
Movie Title,Act Of Valor
Phrase,Act Your Age
Before and After,Act Your Age Before Beauty
Before and After,Act Your Age Of Innocence
What Are You Doing,Acting All Grown-Up
What Are You Doing,Acting Interested
Show Biz,Acting Lessons
Thing,Acting Lessons
What Are You Doing,Acting Like A Local
Person,Acting Mayor
Phrase,Acting On Impulse
What Are You Doing,Acting On Impulse
Place,Acting School
Person,Acting Sheriff
Fun and Games,Action Figures
Thing,Action Figures
Event,Action Packed Escape
Event,Action Packed Night Out
Thing,Action Verbs
Show Biz,Action- Packed Drama
Show Biz,Action-Adventure Movies
Thing,Action-Adventure Movies
Show Biz,Action-Adventure Series
Event,Action-Packed Adventures
Show Biz,Action-Packed Drama
Event,Action-Packed Escape
Event,Action-Packed Escapes
Event,Action-Packed Football Game
Show Biz,Action-Packed Movie
Event,Action-Packed Night Out
People,Active Bicyclist
Person,Active Bicyclist
Place,Active Business District
Before and After,Active Duty Calls
People,Active Duty Solider
Thing,Active Lifestyle
Thing,Active Lifestyles
Before and After,Active Military Museum
People,Active Participants
Thing,Active Travel
Thing,Active Volcanoes
Thing,Active Wear & Casualwear
People,Active-Duty Marines
People,Active-Duty Personnel
Proper Name,Activist Ralph Nader
Occupation,Activities Manager
Fun and Games,Activity Book
Thing,Activity Book
Proper Name,Actor & Director Clint Eastwood
Proper Name,Actor & Singer Adam Cheng
Proper Name,Actor Chai Romruen
Proper Name,Actor Craig T Nelson
Proper Name,Actor Eric Bana
Proper Name,Actor James Gandolfini
Proper Name,Actor Jeremy Sisto
Proper Name,Actor Jon Heder
Proper Name,Actor Mathew St. Patrick
Proper Name,Actor Michael Boatman
Proper Name,Actor Michael Gambon
Proper Name,Actor Orlando Bloom
Proper Name,Actor Patrick Warburton
Proper Name,Actor Peter Dinklage
Proper Name,Actor Philip Seymour Hoffman
Proper Name,Actor Ross Lynch
Proper Name,Actor Terence Hill
Proper Name,Actors Studio West
Proper Name,Actress & Model Cynthia Gibb
Proper Name,Actress Angela Bassett
Proper Name,Actress Debra Winger
Proper Name,Actress Eva Green
Proper Name,Actress Eva Mendes
Proper Name,Actress Glenn Close
Proper Name,Actress Jodie Foster
Proper Name,Actress Kristen Schaal
Proper Name,Actress Lauren Taylor
Proper Name,Actress Lena Headey
Proper Name,Actress Mariska Hargitay
Proper Name,Actress Maureen O'Hara
Proper Name,Actress Sophie Turner
Thing,Acts Of Compassion
Thing,Acts Of Kindness
Event,Actual Reenactment
Place,Ad Agency
Occupation,Ad Exec
Occupation,Ad Executive
Proper Name,Adam & Eve
Proper Name,Adam Brody
Proper Name,Adam Driver
Star and Role,Adam Driver As Kylo Ren
Proper Name,Adam Lambert
Proper Name,Adam Levine
Husband and Wife,Adam Levine & Behati Prinsloo
TV Show Title,Adam Ruins Everything
Proper Name,Adam Sandler
Show Biz,Adam Sandler Stars In Pixels
Show Biz,Adam Sandler Stars In The Longest Yard
Proper Name,Adam Scott
Proper Name,Adam Shankman
Star and Role,Adam West As Bruce Wayne
Phrase,Adam's Apple
Before and After,Adam's Apple Of My Eye
Before and After,Adam's Apple Pie
Before and After,Adam's Apple Pie A La Mode
Before and After,Adam's Apple Turnover
Thing,Adapted Screenplay
Before and After,Add Fuel To The Fire Extinguisher
Phrase,Add Insult To Injury
Phrase,Add It To My Shopping List
Thing,Added Bonus
